A000004,1,[]
A000007,Sn,[1]
A000012,-Sn + 1,[1]
A000027,(-n - 1)*Sn + n + 2,[1]
A000032,-Sn^2 + Sn + 1,[2, 1]
A000034,-Sn^2 + 1,[1, 2]
A000035,-Sn^2 + 1,[0, 1]
A000038,Sn,[2]
A000042,Sn^2 - 11*Sn + 10,[1, 11]
A000044,-Sn^11 + Sn^10 + Sn^8 + Sn^6 + Sn^4 + Sn^2 + 1,[1, 1, 1, 2, 3, 5, 8, 13, 21, 34, 55]
A000045,-Sn^2 + Sn + 1,[0, 1]
A000051,Sn^2 - 3*Sn + 2,[2, 3]
A000071,-Sn^3 + 2*Sn^2 - 1,[0, 0, 1]
A000073,-Sn^3 + Sn^2 + Sn + 1,[0, 0, 1]
A000078,-Sn^4 + Sn^3 + Sn^2 + Sn + 1,[0, 0, 0, 1]
A000079,-Sn + 2,[1]
A000085,-Sn^2 + Sn + n + 1,[1, 1]
A000100,Sn^5 - 2*Sn^4 - Sn^3 + Sn^2 + 2*Sn + 1,[0, 0, 0, 1, 2]
A000108,(-n - 2)*Sn + 4*n + 2,[1]
A000115,-Sn^8 + Sn^7 + Sn^6 - Sn^5 + Sn^3 - Sn^2 - Sn + 1,[1, 1, 2, 2, 3, 4, 5, 6]
A000124,(-n^2 - n - 2)*Sn + n^2 + 3*n + 4,[1]
A000125,(-n^3 - 5*n - 6)*Sn + n^3 + 3*n^2 + 8*n + 12,[1]
A000126,-Sn^4 + 3*Sn^3 - 2*Sn^2 - Sn + 1,[1, 2, 4, 8]
A000127,(-n^4 + 2*n^3 - 11*n^2 - 14*n - 24)*Sn + n^4 + 2*n^3 + 11*n^2 + 34*n + 48,[1]
A000128,-Sn^5 + 4*Sn^4 - 5*Sn^3 + Sn^2 + 2*Sn - 1,[1, 2, 4, 8, 16]
A000129,-Sn^2 + 2*Sn + 1,[0, 1]
A000130,(-n - 1)*Sn^4 + (n^2 + 6*n + 5)*Sn^3 + (-n^2 - 4*n - 5)*Sn^2 + (-n^2 - 2*n + 3)*Sn + n^2 + 5*n + 6,[0, 0, 1, 2]
A000134,-Sn^10 + Sn^9 + Sn^3 - Sn^2,[2, 6, 9, 12, 15, 18, 21, 24, 27, 31]
A000139,(-4*n^2 - 14*n - 12)*Sn + 27*n^2 + 27*n + 6,[2]
A000142,-Sn + n + 1,[1]
A000150,(n^4 + 9*n^3 + 27*n^2 + 31*n + 12)*Sn^3 + (-4*n^4 - 30*n^3 - 78*n^2 - 80*n - 24)*Sn^2 + (-4*n^4 - 24*n^3 - 48*n^2 - 40*n - 12)*Sn + 16*n^4 + 72*n^3 + 96*n^2 + 32*n,[0, 0, 1]
A000153,-Sn^2 + (n + 2)*Sn + n,[0, 1]
A000155,-Sn^4 + (2*n + 6)*Sn^3 + (2*n + 2)*Sn + 1,[0, 1, 2, 7]
A000165,-Sn + 2*n + 2,[1]
A000166,-Sn^2 + (n + 1)*Sn + n + 1,[1, 0]
A000168,(-n - 3)*Sn + 12*n + 6,[1]
A000172,(-n^2 - 4*n - 4)*Sn^2 + (7*n^2 + 21*n + 16)*Sn + 8*n^2 + 16*n + 8,[1, 2]
A000179,(-4*n + 1)*Sn^4 + (4*n^2 + 14*n - 5)*Sn^3 + (n^2 + 11*n + 1)*Sn^2 + (-3*n^2 + 4*n + 3)*Sn - 3*n + 3,[1, 0, 0, 1]
A000180,-Sn^2 + (3*n + 5)*Sn + 3*n + 3,[1, 2]
A000184,(n^2 + 5*n + 6)*Sn^2 + (-8*n^2 - 46*n - 60)*Sn + 16*n^2 + 104*n + 168,[2, 22]
